Issuer Ticker	main domain	Name	Sector	Location	Auswahl Eingetragener Marken
VOLV B	volvogroup.com	VOLVO CLASS B	Industrials	Sweden	VOLVO; FMX; FH16; VNL; GLOBETROTTER; I-SHIFT; DYNADRIVE; DIGI-BONUS; POWERTRONIC; VOLVO CONNECT
BAS	basf.com	BASF N	Materials	Germany	BASF; GLYSANTIN; NEOPOR; KEROPUR; LUPRANOL; ECOSTAR; HYDROSTYLE; VERISOL; LEVASIL; AGILENTIUM
ENGI	engie.com	ENGIE SA	Utilities	France	ENGIE; ENGIE COFELY; ENGIE IMPACT; GLOW; TRACTEBEL; GNVERT; NET ZERO CARBON; SUN PARK; POWERPEAS; ZE ENERGY
ALC	alcon.com	ALCON AG	Health Care	Switzerland	ALCON; SYSTANE; DAILIES; AIR OPTIX; PRECISION1; PANOPTIX; CUSI; OPTI-FREE; DUOTRAV; PATADAY
SIKA	sika.com	SIKA AG	Materials	Switzerland	SIKA; SIKAFLEX; SIKATOP; SIKAGARD; SIKACRETE; SIKASIL; SIKABOND; SIKAFILL; VISCOCRETE; SIKAFAST
ATCO A	atlascopco.com	ATLAS COPCO CLASS A	Industrials	Sweden	ATLAS COPCO; GA VSD+; SMARTLINK; ELEKTRONIKON; ZH+; QLT; GHS; SECOROC; ACTA; POWERROC
MBG	group.mercedes-benz.com	MERCEDES-BENZ GROUP N AG	Consumer Discretionary	Germany	MERCEDES-BENZ; EQS; AMG; MAYBACH; G-CLASS; MBUX; 4MATIC; BLUEEFFICIENCY; GUARD 360; DRIVE PILOT
ADS	adidas-group.com	ADIDAS N AG	Consumer Discretionary	Germany	ADIDAS; 3-STRIPES; BOOST; PREDATOR; ULTRABOOST; STAN SMITH; YEEZY; TERREX; CLIMACOOL; ADIZERO
GIVN	givaudan.com	GIVAUDAN SA	Materials	Switzerland	GIVAUDAN; ACTIVE BEAUTY; S-FRAGRANCE; SMARTPATH; SENSE IT; TASTEFUSION; VERSASE; TASTEPRINT; CRYSTALWHITE; NATURALIFT
WKL	wolterskluwer.com	WOLTERS KLUWER NV	Industrials	Netherlands	WOLTERS KLUWER; CCH; ONESEARCH; LEANRA; TAGETIK; LEGALVIEW; HEALTH LANGUAGE; TEAMMATE; ENABLON; EXPERE
EOAN	eon.com	E.ON N	Utilities	Germany	E.ON; E.ON DRIVE; E.ON HOME; E.ON INNOGY; E.ON CONNECT; FUTURE ENERGY HOME; REGIONALWERKE; E.ON PLUS; GREENWIND; CITIWORKX
G	generali.com	ASSICURAZIONI GENERALI	Financials	Italy	GENERALI; ALLEANZA; DAS; EUROP ASSISTANCE; GENERALI INVESTMENTS; MYGEN; IMMAGINA; WELION; PREVÍDNA
GLEN	glencore.com	GLENCORE PLC	Materials	United Kingdom	GLENCORE; PRODECO; ARISTON; CERRO MATOSO; MOPANI; PELENDA; POLYMETALIC; PASAR; ASTUR; CDR
AD	aholddelhaize.com	KONINKLIJKE AHOLD DELHAIZE NV	Consumer Staples	Netherlands	ALBERT HEIJN; STOP & SHOP; GIANT; FOOD LION; HANNAFORD; BOL.COM; FRESH GALLERIA; PEAPOD; AH TO GO; DELHAIZE
AMS	amadeus.com	AMADEUS IT GROUP SA	Consumer Discretionary	Spain	AMADEUS; ALTEA; NAVITIA; CYTAL; IXAR; AMADEUS CHECK-IN; TRIPLINK; AMADEUS XCHANGE; HOTELPLUS; AIRPORT IT
TSCO	tesco.com	TESCO PLC	Consumer Staples	United Kingdom	TESCO; CLUBCARD; FINEST; EVERYDAY VALUE; BUCKS FIZZ; F&F; JACK’S; ONE STOP; PULSE; HUDL
CBK	commerzbank.com	COMMERZBANK AG	Financials	Germany	COMMERZBANK; COMMERZ MARKETS; COMMERZBANK GROUP; COMMERZ REAL; COMDIRECT; COMMERZ VENTURES; main incubator; COMMERZ CORPORATE CLIENTS; COMINVEST; COMMERZBANKING
LR	legrandgroup.com	LEGRAND SA	Industrials	France	Legrand; BTicino; Cablofil; Ortronics; Pass & Seymour; Wiremold; Wattstopper; Middle Atlantic; Netatmo; Minkels
ARGX	argenx.com	ARGENX	Health Care	Belgium	VYVGART; VYVGART HYTRULO
ENI	eni.com	ENI	Energy	Italy	ENI; AGIP; Versalis; Eni Plenitude; Eni Gas e Luce; Enilive; EniPower; Eni Trading & Shipping; Eni Sustainable Mobility; Saipem
CABK	caixabank.com	CAIXABANK SA	Financials	Spain	CaixaBank; imagin; CaixaBankNow; MicroBank; HolaBank; Wivai; BrokerNow; AgroBank; imaginKids; imaginTeens
ASSA B	assaabloy.com	ASSA ABLOY B	Industrials	Sweden	CaixaBank; imagin; CaixaBankNow; MicroBank; HolaBank; Wivai; BrokerNow; AgroBank; imaginKids; imaginTeens
BAYN	bayer.com	BAYER AG	Health Care	Germany	Aspirin; Aleve; Claritin; Bepanthen; Canesten; One A Day; Xarelto; Eylea; Nubeqa; Mirena
AAL	angloamerican.com	ANGLO AMERICAN PLC	Materials	United Kingdom	De Beers; Anglo Platinum (AMPLATS); Kumba Iron Ore; Quellaveco; Minas-Rio; Woodsmith; Venetia; Mogalakwena; Sishen; Los Bronces
STAN	sc.com	STANDARD CHARTERED PLC	Financials	United Kingdom	Standard Chartered; SC Mobile; Straight2Bank; Breeze; Mox; Solv; nexus; SC Priority; MyWay; eSaver
IMB	imperialbrandsplc.com	IMPERIAL BRANDS PLC	Consumer Staples	United Kingdom	Davidoff; Gauloises; JPS (John Player Special); West; Rizla; blu; Kool; Winston; Peter Stuyvesant; Golden Virginia
CAP	capgemini.com	CAPGEMINI	Information Technology	France	CAPGEMINI; CAPGEMINI INVENT; CAPGEMINI ENGINEERING; SOGETI; ALTRAN; IGATE; IDEAN; FROG; GET THE FUTURE YOU WANT; TMAP NEXT
PRU	prudentialplc.com	PRUDENTIAL PLC	Financials	United Kingdom	PRUDENTIAL; PRU; PRUFUND; PULSE BY PRUDENTIAL; EASTSPRING INVESTMENTS; PRUDENTIAL BSN TAKAFUL; PRUDENCE FOUNDATION; ICICI PRUDENTIAL; PRUACCESS; PRUDENTIAL RIDELONDON
ORA	orange.com	ORANGE SA	Communication	France	ORANGE; ORANGE BANK; ORANGE BUSINESS; ORANGE MONEY; SOSH; EQUANT; WANADOO; DAILYMOTION; JAZZTEL; OCS
SLHN	swisslife.com	SWISS LIFE HOLDING AG	Financials	Switzerland	SWISS LIFE; SWISS LIFE SELECT; SWISS LIFE ASSET MANAGERS; SWISS LIFE GLOBAL SOLUTIONS; SWISS LIFE IMMOBILIEN; SWISS LIFE WEALTH; SWISS LIFE PENSION SERVICES; SWISS LIFE BANQUE PRIVÉE; SWISS LIFE DIALOG; SWISS LIFE CARE
PGHN	partnersgroup.com	PARTNERS GROUP HOLDING AG	Financials	Switzerland	PARTNERS GROUP; PG LIFE; PG IMPACT INVEST; PARTNERS FUND
SEB A	sebgroup.com	SKANDINAVISKA ENSKILDA BANKEN	Financials	Sweden	SEB; SEB KORT; EUROCARD; SEB LIFE & PENSION; SEB INVESTMENT MANAGEMENT; SEB MERCHANT BANKING; SEB PRIVATE BANKING; SEB ARENA; SEB FUNDS; SEB VENTURE CAPITAL
NOKIA	nokia.com	NOKIA	Information Technology	Finland	NOKIA; NOKIA BELL LABS; HERE; OZO; LUMIA; PUREVIEW; ALACATEL-LUCENT; CLEARBLACK; S40; WITHINGS
ASM	asm.com	ASM INTERNATIONAL NV	Information Technology	Netherlands	ASM; A400; A412; PULSAR; EMERALD; INTREPID; SYNERGI; SILCORE; EPIC; XP12
HO	thalesgroup.com	THALES SA	Industrials	France	THALES; GEMALTO; DIS; TDA ARMEMENTS; SPARTA; NEXIUM; TALIOS; WATCHKEEPER; ADGA; VIGIL
RWE	rwe.com	RWE AG	Utilities	Germany	RWE; RWE BACKUP POWER+; RWE BATTERY SOLUTIONS; INNOGY; RWE CLEAN ENERGY; RWE SUPPLY & TRADING; RWE SOLAR; RWE OFFSHORE; RWE HYDRO; RWE PLUS
DANSKE	danskebank.com	DANSKE BANK	Financials	Denmark	DANSKE BANK; MOBILEPAY; DANICA PENSION; REALKREDIT DANMARK; DANSKE INVEST; DISTRICT; JUNE; DANSKE eBANKING; DWELL; HOME LOAN
HEI	heidelbergmaterials.com	HEIDELBERG MATERIALS AG	Materials	Germany	HEIDELBERG MATERIALS; HEIDELBERGCEMENT; LEHIGH HANSON; CASTLE; CEMEXA?†; DEVKS?†; ENCI; ALLIED NEVADA?†; HANSON; LEHIGH CEMENT
SSE	sse.com	SSE PLC	Utilities	United Kingdom	SSE; SSE AIRTRICITY; SSE RENEWABLES; SSE THERMAL; SSEN DISTRIBUTION; SSEN TRANSMISSION; FLEXITRICITY; SEPD; SMOOTH ENERGY; SMART HOMES
AHT	ashtead-group.com	ASHTEAD GROUP PLC	Industrials	United Kingdom	SUNBELT RENTALS; SUNBELT UK; A-PLANT; A-Wohn; SITEWERX; TOOLFAIR; GREENMECH; LORD & LOVE; ACRLIGHT; A-SMART
PUB	publicisgroupe.com	PUBLICIS GROUPE SA	Communication	France	PUBLICIS; SAATCHI & SAATCHI; LEO BURNETT; BBH; RAZORFISH; ZENITH; STARCOM; SPARK FOUNDRY; EPSILON; MARCEL
DSY	3ds.com	DASSAULT SYSTEMES	Information Technology	France	3DEXPERIENCE; CATIA; SOLIDWORKS; ENOVIA; DELMIA; SIMULIA; BIOVIA; GEOVIA; NETVIBES; 3DVIA
SAMPO	sampo.com	SAMPO CLASS A	Financials	Finland	SAMPO; IF; MANDATUM; HASTINGS DIRECT; TOPDANMARK
NSIS B	novozymes.com	NOVOZYMES B	Materials	Denmark	NOVOZYMES; CELLIC; HIPHORIUS; LIPOZYME; ALCALASE; VISCOZYME; SPIRIZYME; FUNGAMYL; LIQUOZYME; PHYTAZYME
VIE	veolia.com	VEOLIA ENVIRON. SA	Utilities	France	VEOLIA; VEOLIA WATER TECHNOLOGIES; VEOLIA NUCLEAR SOLUTIONS; VEOLIA TRANSPORT; DALKIA; SEDIF; ONYX; SADE; SARP; OEDE
UMG	universalmusic.com	UNIVERSAL MUSIC GROUP NV	Communication	Netherlands	UNIVERSAL MUSIC GROUP; CAPITOL RECORDS; DEF JAM RECORDINGS; MOTOWN; INTERSCOPE; GEFFEN; ISLAND RECORDS; DECCA RECORDS; VIRGIN MUSIC; A&M
KNEBV	kone.com	KONE	Industrials	Finland	KONE; MONOSPACE; ECODISC; MINISPACE; MAXISPACE; POWERCORD; TRANSYS; POLARIS; KONE CARE; DEDICATED TO PEOPLE FLOW
ML	michelin.com	MICHELIN	Consumer Discretionary	France	MICHELIN; BIBENDUM; MICHELIN GUIDE; BIB GOURMAND; BFGOODRICH; KLEBER; RIKEN; UNIROYAL; MICHELIN STAR; CROSSCLIMATE
EBS	erstegroup.com	ERSTE GROUP BANK AG	Financials	Austria	ERSTE BANK; SPARKASSE; GEORGE; SLOVENSKA SPORITELNA; BCR; CSOB; ERSTE ASSET MANAGEMENT; ERSTE FOUNDATION; GEORGE GO; ERSTE DIGITAL
BMW	bmwgroup.com	BMW AG	Consumer Discretionary	Germany	BMW; MINI; ROLLS-ROYCE; BMW M; BMW i; BMW MOTORRAD; IDRIVE; XDRIVE; CONNECTEDDRIVE; ALPINA†
EQNR	equinor.com	EQUINOR	Energy	Norway	EQUINOR; HYWIND; DOGGER BANK; SNØHVIT; JOHAN SVERDRUP
